,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
326,Parshwa Gold County,870,2    ,2,2021-03-15, Charholi Budruk
328,Bhosale Tupe Siddhi Vihar,350,1    ,2,2021-03-15, Hadapsar
329,bhosale village,530,1    ,1,2021-03-15, Bekrai Nagar
330,Namo Paradise,855,2    ,2,2021-03-15, Lohegaon
331,Ameya Apartments,550,1    ,1,2021-03-15, Aundh
332,New Front 48 East Park,824,2    ,2,2021-03-15, Kale Padal
334,Shree Ram Lotus,1108,2    ,2,2021-03-15, Lohegaon
335,Aryan Complex,503,1    ,1,2021-03-15, Ambegaon Pathar
336,Monica Corner,550,1    ,1,2021-03-15, Hadapsar
337,Kohinoor Falcon,1058,2    ,2,2021-03-15, Sus
340,on req,660,1    ,1,2021-03-15, Kothrud
341,Airawat Pride,613,1    ,1,2021-03-15, Manjari Budruk
342,Bramha Baug,680,1    ,1,2021-03-15, B.T Kawade Road
343,Telco TTIL Society,2000,2    ,2,2021-03-15, Sector No-4 Moshi
344,Mauli Building,800,1    ,2,2021-03-15, Pimple Gurav
346,Destination Kshitij,1105,2    ,2,2021-03-15, Bhosari
347,Ganeshdutta hou.soc.,700,1    ,1,2021-03-15, Sahakar Nagar
348,Life Montage Apartment,985,2    ,2,2021-03-15, Sus
350,Puraniks Aldea,1000,3    ,3,2021-03-15, Baner
351,B5 Pushkaraj apartment right bhusari colony,575,1    ,1,2021-03-15, Near Bhimsen Joshi garden kothrud depot pune
353,Satyam Greenfields,600,1    ,1,2021-03-16, Pimpri
354,Oakwood County,900,2    ,2,2021-03-15, Garmal
355,Om Sankul,750,2    ,1,2021-03-15, Wadgaon Sheri
356,on req,575,1    ,1,2021-03-15, Pimple Gurav
358,Sanskruti Homes,765,1    ,2,2021-03-15, Swami Samarth Nagar
359,BA Vermont,9472,1    ,1,2021-03-15, Wagholi
360,Popular Colony,560,1    ,1,2021-03-15, Warje Malwadi
361,Pragati Park Apartment,600,1    ,1,2021-03-15, Hadapsar Gaon
362,Shri Nagari Society,650,1    ,1,2021-03-15, Hadapsar
363,Ravi Park,700,2    ,2,2021-03-15, Hadapsar
364,Sriram Complex,650,1    ,1,2021-03-15, Nehru Nagar
365,Seoul society,500,1    ,1,2021-03-15, Kothrud
366,Moksh Villa,900,2    ,2,2021-03-15, Narhe
368,Bhoir Estate,666,1    ,1,2021-03-15, Thergaon
369,Sujit Heights,900,2    ,2,2021-03-15, Chinchwad
371,Atur Park,1250,2    ,2,2021-03-15, Koregaon Park
372,on Request,897,1    ,2,2021-03-15, Bibwewadi
373,srinivas chs,550,1    ,1,2021-03-15, Wadegaon
376,Agarwal Garden,1000,2    ,2,2021-03-15, Hadapsar
377,Dreams Lynnea,800,2    ,2,2021-03-15, Wagholi
378,Shashwattee Reflections,1250,3    ,3,2021-03-15, Wakad
379,Gera Greensville Sky Villas,2300,3    ,3,2021-03-15, Kharadi
381,Vaishnavi City Phase 2,650,2    ,2,2021-03-15, Handewadi
382,Sigma Centuria,550,1    ,1,2021-03-15, Kale Padal
386,Utsav Homes 3,850,2    ,2,2021-03-15, Bavdhan
387,Shree,450,1   ,1,2021-03-15, Ganesh Mala
388,Kolte Patil Mount Castle,996,2    ,2,2021-03-15, Wagholi
389,rohan mithilla,1760,3    ,3,2021-03-15, Viman Nagar
390,Saurabh Residency,900,2    ,1,2021-03-15, Hinjewadi Phase 1
391,Seema Garden,572,1    ,1,2021-03-15, Ramkrishna Paramhans Nagar
393,Sukhwani Coloronic,1061,2    ,2,2021-03-15, Ravet
394,New Construction,301,1    ,1,2021-03-15," Mahadevnagar, Manjari Road, Hadapsar (Near a Allahabad Bank)"
398,Grand Vantilla,650,1    ,1,2021-03-15, Wagholi
399,Vrindavan,1150,3    ,2,2021-03-15, Dadachi vasti
401,Magarpatta Grevillea,870,2    ,2,2021-03-15, Magarpatta
402,Chet,1200,2    ,1,2021-03-15, Sasane Nagar
403,Jagtap Patil Sai Laurel Park,1114,2    ,2,2021-03-15, Pimple Gurav
405,Gravity Austin Plaza,752,2    ,2,2021-03-15, Kaspate Vasti
406,Anant Nagar Chs,500,1    ,1,2021-03-15, Dhankawadi
407,Ahura Shahinshah,550,1    ,1,2021-03-15, Koregaon Park
408,Lake View City,750,1    ,1,2021-03-15, Lohegaon
411,Aarav Ambience,900,2    ,2,2021-03-15, Kharadi
412,Maharashtra Housing Board,520,1    ,1,2021-03-15, Shastri Nagar
413,Shinde Pratik Plaza,574,1    ,1,2021-03-15, Narhe
414,Xrbia City,260,1    ,1,2021-03-15, Hinjewadi
415,Ganraj Shreemant Ganray Krupa,1175,2    ,2,2021-03-15, Balewadi
416,Pristine Greens,671,2    ,2,2021-03-15, Moshi
417,Lushlife Ovo,2585,3    ,3,2021-03-15, Undri
418,Silvana County,750,2    ,2,2021-03-15, Chovisawadi
419,Shree Maha Ganesh Nagri,735,2    ,2,2021-03-15, Keshav Nagar
420,Paranjape Richmond Park,635,2    ,2,2021-03-15, Rahatani
422,Kale colony no.8,650,1    ,1,2021-03-15, Kale borate nagar
424,"Morya Society,sudharshan  Nagar",700,1    ,1,2021-03-15, Koyana Nagar
425,"Gurukrupa\',Morya Hou.society,Lane No.5",1000,1    ,1,2021-03-15," Koyna Nagar,Chikhali"
426,Kohinoor S3 Lifestyle,1200,3    ,3,2021-03-15, Pimple Saudagar
427,Kalpataru Harmony,882,2    ,2,2021-03-15, Kaspate Vasti
428,Niyoshi Park 4,560,1    ,1,2021-03-15, Aundh
430,Konark Yashoda Angan,999,2    ,2,2021-03-15, Thergaon
431,sancheti mount castle,996,2    ,2,2021-03-14, Wagholi
432,Saumya Heights,501,1    ,1,2021-03-14, Phursungi
436,P S Terrace,1200,2    ,1,2021-03-14, Hadapsar
437,LIG Colony,370,1   ,1,2021-03-14, Sector-25 Pradhikaran
438,Sathe Shivam,900,1    ,1,2021-03-14, Bhusari Colony
439,Ronak Residency,850,1    ,1,2021-03-14," Dawa Bazaar, Chinchwad Railway Station"
440,Pratik Nagar Society,600,1    ,1,2021-03-14, Hadapsar
441,Shrived Splended,1050,2    ,2,2021-03-14, Borade Wadi
442,SBM West Wind Park,1040,2    ,2,2021-03-14, Hinjewadi
444,Siddhivinayak Ginger,1000,2    ,2,2021-03-14, Pimple Saudagar
445,Midas Apartments,450,1    ,1,2021-03-14, Pimple Nilakh
446,Janak Apartment,455,1    ,1,2021-03-14, Chakan
447,Celestial City,1043,2    ,2,2021-03-14, Ravet
449,K K Meadows,700,1    ,2,2021-03-14, Chovisawadi
450,Windsor Maple Woodz,798,2    ,2,2021-03-14, Wagholi
451,Radhika Housing Society,950,2    ,2,2021-03-14, Rajaram Bridge
453,Sharmin Apartment,850,2    ,2,2021-03-14, Baner
454,Creative Lifestyle,860,2    ,2,2021-03-14, Jawalkar Nagar
456,Lotus Nandanvan,364,1    ,1,2021-03-14, Moshi
459,Alliance Nisarg Leela,870,2    ,2,2021-03-14, Shankar Kalat Nagar
460,Shreenivas sankul,1000,2    ,2,2021-03-14, Madhala Vada
461,Jai Ganesh Apartment,950,2    ,2,2021-03-14, Pimpri
462,Ridhi Sidhi,650,1    ,1,2021-03-14, Narhe
463,Deokar Residency,1100,2    ,2,2021-03-14, Wadgaon Sheri
465,Kumar Palmcrest,990,2    ,2,2021-03-14, Pisoli
467,Bramha Majestic,2000,2    ,2,2021-03-14, Kondhwa
468,Yash Square,650,1    ,1,2021-03-14, Sangam Nagar
469,Kohinoor Abhimaan Homes,562,1    ,1,2021-03-14, Shirgaon
471,Silverland Residency Phase 3,852,2    ,2,2021-03-14, Ravet
472,Rama Swiss County,904,2    ,2,2021-03-14, Wakad
473,"Hillview Redidency, Khandoba Mal Road, Lohegaon",680,2    ,2,2021-03-14, Lohegaon
474,Soham Oliva,1450,3    ,3,2021-03-14, Balewadi
475,Manjri Green,1650,3    ,3,2021-03-14, Manjari Budruk
477,Panama Silver Stone,757,2    ,2,2021-03-14, Handewadi
478,"Hillview Residency, Khandoba Mal",575,1    ,1,2021-03-14, Lohegaon
479,Samrat Swastik Society,1800,1    ,1,2021-03-14, Magarpatta
480,Yogeshwar society,650,1    ,1,2021-03-14, Kalyani Nagar Annexe
481,Nandinee,500,1    ,2,2021-03-14, Nandini Takle Nagar
482,Paranjape Blue Ridge,502,1    ,1,2021-03-14, Hinjewadi
483,Vijaydeep Deccan Gold,1276,2    ,2,2021-03-14, Tulaja Bhawani Nagar
486,Indraprastha Society Phase 1,750,1    ,1,2021-03-14, Hadapsar
487,Darode Shreeniwas Greenland County,790,2    ,1,2021-03-14, Narhe
488,Dynasty Kaspatewasti Wakad,1000,1    ,2,2021-03-14, Kaspate Wasti
489,Ganesh Aparment,550,1    ,1,2021-03-14, Bhosale Nagar
490,on request,725,1    ,1,2021-03-14, Pathare Wasti
491,Ujwal Terraces,765,2    ,2,2021-03-14, Abasaheb Raikar Nagar
492,Riverdale Heights,1107,3    ,2,2021-03-14, Kharadi
493,Palladium Grand K,423,1    ,1,2021-03-14, Madhav Nagar
494,Bhandari Greenfield Society,906,2    ,2,2021-03-14, Magarpatta
496,Siddhi Sankul,678,2    ,2,2021-03-14, MIDC
497,Siddharth Nagar Phase 3,800,2    ,2,2021-03-14, Aundh
498,Aditya Heights,802,1    ,1,2021-03-14, Purnanagar
499,Kesar Aaradhyam,415,1    ,1,2021-03-14, Moshi
500,Kohinoor Tinsel Town,1003,2    ,2,2021-03-14, Hinjewadi Phase 2
